timestamp,suite,run_name,replicate,seed,config_file,modules,data_profile,input_root,output_dir,log_file,status,error_message
2025-11-24T08:20:27,uncertainty,ua_random_004,1,42000,workspace/uncertainty/config/generated/ua_random_004.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_004/rep_001,scratch/uncertainty/ua_random_004/rep_001.log,success,
2025-11-24T08:55:29,uncertainty,ua_random_004,2,42001,workspace/uncertainty/config/generated/ua_random_004.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_004/rep_002,scratch/uncertainty/ua_random_004/rep_002.log,success,
2025-11-24T09:21:26,uncertainty,ua_base,8,42007,workspace/uncertainty/config/ua_base.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_base/rep_008,scratch/uncertainty/ua_base/rep_008.log,success,
2025-11-24T09:29:02,uncertainty,ua_random_004,3,42002,workspace/uncertainty/config/generated/ua_random_004.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_004/rep_003,scratch/uncertainty/ua_random_004/rep_003.log,success,
2025-11-24T10:01:26,uncertainty,ua_random_004,4,42003,workspace/uncertainty/config/generated/ua_random_004.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_004/rep_004,scratch/uncertainty/ua_random_004/rep_004.log,success,
2025-11-24T10:24:39,uncertainty,ua_base,9,42008,workspace/uncertainty/config/ua_base.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_base/rep_009,scratch/uncertainty/ua_base/rep_009.log,success,
2025-11-24T10:41:34,uncertainty,ua_random_005,1,42000,workspace/uncertainty/config/generated/ua_random_005.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_005/rep_001,scratch/uncertainty/ua_random_005/rep_001.log,success,
2025-11-24T11:17:38,uncertainty,ua_random_005,2,42001,workspace/uncertainty/config/generated/ua_random_005.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_005/rep_002,scratch/uncertainty/ua_random_005/rep_002.log,success,
2025-11-24T11:30:23,uncertainty,ua_base,10,42009,workspace/uncertainty/config/ua_base.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_base/rep_010,scratch/uncertainty/ua_base/rep_010.log,success,
2025-11-24T11:52:17,uncertainty,ua_random_005,3,42002,workspace/uncertainty/config/generated/ua_random_005.yaml,"anthroDisturbance_DataPrep,potentialResourcesNT_DataPrep,anthroDisturbance_Generator",preprocessed,data/raw,outputs/uncertainty/ua_random_005/rep_003,scratch/uncertainty/ua_random_005/rep_003.log,success,
