interval,replicate,class_mode,analysis_mode,overall_agreement,quantity_disagreement,allocation_disagreement,total_disagreement,change_mask_overall_agreement,change_mask_quantity_disagreement,change_mask_allocation_disagreement,change_mask_total_disagreement,binary_f1,binary_iou,binary_precision,binary_recall,prevalence_ref,prevalence_sim,grid_rmse_1km,grid_rmse_5km,grid_rmse_10km,grid_bias_1km,grid_bias_5km,grid_bias_10km,grid_spearman_1km,grid_spearman_5km,grid_spearman_10km,linear_median_distance_m,linear_p90_distance_m
2010_2015,1,crosswalk,VERIFICATION_CARIBOU,0.947481812265637,0.0134541425695331,0.03906404516483,0.0525181877343631,0.0366631035770303,0.246788255766217,0.716548640656753,0.96333689642297,0.169396956262021,0.0925361491348353,0.185968326537337,0.155537255028608,0.0324345987279196,0.0271271379811129,0.174447012251713,0.0979000749525271,0.0746868566761178,-0.00527227314195452,-0.00509453313427619,-0.00461110075526826,0.371746418468257,0.476248579555002,0.530521594307857,4341.65869140625,27721.83203125
2010_2015,1,native,VERIFICATION_CARIBOU,0.947412556584048,0.0141133721617893,0.0384740712541628,0.0525874434159521,0.0353927521761212,0.258880451190902,0.705726796632976,0.964607247823879,0.169396956262021,0.0925361491348353,0.185968326537337,0.155537255028608,0.0324345987279196,0.0271271379811129,0.174447012251713,0.0979000749525271,0.0746868566761178,-0.00527227314195452,-0.00509453313427619,-0.00461110075526826,0.371746418468257,0.476248579555002,0.530521594307857,4341.65869140625,27721.83203125
2010_2015,2,crosswalk,VERIFICATION_CARIBOU,0.949289268586854,0.015762380142673,0.0349483512704734,0.0507107314131464,0.0343002512044916,0.300167757790464,0.665531991005044,0.965699748795508,0.169417442492054,0.0925483758146858,0.194885239933773,0.149836640884454,0.0324345987279196,0.0249371954668202,0.170231185643297,0.0941848465041,0.0723730022099368,-0.00745328443527655,-0.00723025775792381,-0.00671179605657438,0.373721410341582,0.474746033095893,0.5270779293042,4494.44091796875,28139.1171875
2010_2015,2,native,VERIFICATION_CARIBOU,0.94921938441912,0.0163826959677848,0.0343979196130955,0.0507806155808803,0.0329694259265908,0.311980619088084,0.655049954985325,0.967030574073409,0.169417442492054,0.0925483758146858,0.194885239933773,0.149836640884454,0.0324345987279196,0.0249371954668202,0.170231185643297,0.0941848465041,0.0723730022099368,-0.00745328443527655,-0.00723025775792381,-0.00671179605657438,0.373721410341582,0.474746033095893,0.5270779293042,4494.44091796875,28139.1171875
2010_2015,3,crosswalk,VERIFICATION_CARIBOU,0.949298765710823,0.0157767829501625,0.034924451339015,0.0507012342891775,0.0342640674214693,0.300509571592747,0.665226360985784,0.965735932578531,0.169504669168212,0.092600437877756,0.195030511271276,0.149887236458956,0.0324345987279196,0.0249270349408094,0.170224082867903,0.0942908850797137,0.0723753526857389,-0.00746338911068556,-0.00724069872009454,-0.00672190983816973,0.374028240248464,0.473852852014211,0.525184972753053,4500,28160.2578125
2010_2015,3,native,VERIFICATION_CARIBOU,0.949228933916934,0.0163948292419729,0.0343762368410931,0.050771066083066,0.0329339405805738,0.312281859198093,0.654784200221333,0.967066059419426,0.169504669168212,0.092600437877756,0.195030511271276,0.149887236458956,0.0324345987279196,0.0249270349408094,0.170224082867903,0.0942908850797137,0.0723753526857389,-0.00746338911068556,-0.00724069872009454,-0.00672190983816973,0.374028240248464,0.473852852014211,0.525184972753053,4500,28160.2578125
2010_2015,4,crosswalk,VERIFICATION_CARIBOU,0.94928245998695,0.0157563396925016,0.0349612003205489,0.0507175400130505,0.0342787904575591,0.300019114134653,0.665702095407788,0.965721209542441,0.169433489458366,0.0925579532252194,0.19487308337276,0.149868935932008,0.0324345987279196,0.0249441262723637,0.170248732736145,0.0942592284972847,0.0723363052174589,-0.00744639172713672,-0.00722410547924438,-0.00670726229490394,0.373834090246102,0.473498052214976,0.526562156833278,4494.44091796875,28160.2578125
2010_2015,4,native,VERIFICATION_CARIBOU,0.949212575819216,0.0163772840037584,0.034410140177026,0.0507874241807844,0.0329481142659591,0.311842619201561,0.65520926653248,0.967051885734041,0.169433489458366,0.0925579532252194,0.19487308337276,0.149868935932008,0.0324345987279196,0.0249441262723637,0.170248732736145,0.0942592284972847,0.0723363052174589,-0.00744639172713672,-0.00722410547924438,-0.00670726229490394,0.373834090246102,0.473498052214976,0.526562156833278,4494.44091796875,28160.2578125
2010_2015,5,crosswalk,VERIFICATION_CARIBOU,0.94933364669187,0.0157689094154016,0.0348974438927286,0.0506663533081302,0.0345955601682526,0.300463210137732,0.664941229694015,0.965404439831747,0.169869086552393,0.0928179975018254,0.195486893931008,0.150187580401212,0.0324345987279196,0.0249186725834913,0.170164988505217,0.0942100562634744,0.0723268928579908,-0.00747170550161498,-0.00724882106039553,-0.006728966430104,0.374459684607458,0.475064867320372,0.527507779126248,4482.18701171875,28146.048828125
2010_2015,5,native,VERIFICATION_CARIBOU,0.94926371015029,0.01639006322204,0.0343462266276695,0.0507362898497096,0.033262978615825,0.312298769707221,0.654438251676954,0.966737021384175,0.169869086552393,0.0928179975018254,0.195486893931008,0.150187580401212,0.0324345987279196,0.0249186725834913,0.170164988505217,0.0942100562634744,0.0723268928579908,-0.00747170550161498,-0.00724882106039553,-0.006728966430104,0.374459684607458,0.475064867320372,0.527507779126248,4482.18701171875,28146.048828125
