interval,replicate,class_mode,analysis_mode,overall_agreement,quantity_disagreement,allocation_disagreement,total_disagreement,change_mask_overall_agreement,change_mask_quantity_disagreement,change_mask_allocation_disagreement,change_mask_total_disagreement,binary_f1,binary_iou,binary_precision,binary_recall,prevalence_ref,prevalence_sim,grid_rmse_1km,grid_rmse_5km,grid_rmse_10km,grid_bias_1km,grid_bias_5km,grid_bias_10km,grid_spearman_1km,grid_spearman_5km,grid_spearman_10km,linear_median_distance_m,linear_p90_distance_m
2010_2015,2,crosswalk,VERIFICATION,0.988943514615681,0.00650525059147966,0.00455123479283937,0.011056485384319,0.193823464267439,0.474326171800414,0.331850363932147,0.806176535732561,0.354466333616112,0.215411170769337,0.539718888438833,0.263889257082441,0.0111952411587755,0.00547378262190069,0.0411508928557331,0.0223305083588612,0.0176688264768491,-0.00568762212230521,-0.005531977480495,-0.00545050857945461,0.433220621278542,0.511683353461975,0.581348886322726,2163.33081054688,14759.7431640625
2010_2015,2,native,VERIFICATION,0.988887474601085,0.00661006811410634,0.00450245728480827,0.0111125253989146,0.18973734256975,0.481968874190731,0.328293783239518,0.810262657430249,0.354466333616112,0.215411170769337,0.539718888438833,0.263889257082441,0.0111952411587755,0.00547378262190069,0.0411508928557331,0.0223305083588612,0.0176688264768491,-0.00568762212230521,-0.005531977480495,-0.00545050857945461,0.433220621278542,0.511683353461975,0.581348886322726,2163.33081054688,14759.7431640625
2010_2015,3,crosswalk,VERIFICATION,0.988917676851942,0.00648306153897158,0.00459926160908621,0.0110823231480578,0.193420056211469,0.471842170799514,0.334737772989017,0.806579943788531,0.354004103340604,0.215069857743308,0.537309737322435,0.263954752217868,0.0111952411587755,0.00549969021743334,0.0411958859144324,0.022347716615297,0.0176398604155085,-0.00566074604961721,-0.00550150451665241,-0.00541592046499043,0.432450577794094,0.514917924699767,0.588466435519996,2154.06591796875,14623.953125
2010_2015,3,native,VERIFICATION,0.988861724127089,0.00658768702416507,0.00455058884874588,0.0111382758729109,0.189347774157972,0.479456893528566,0.331195332313463,0.810652225842028,0.354004103340604,0.215069857743308,0.537309737322435,0.263954752217868,0.0111952411587755,0.00549969021743334,0.0411958859144324,0.022347716615297,0.0176398604155085,-0.00566074604961721,-0.00550150451665241,-0.00541592046499043,0.432450577794094,0.514917924699767,0.588466435519996,2154.06591796875,14623.953125
2010_2015,4,crosswalk,VERIFICATION,0.988943165456712,0.00649646924339818,0.00456036529989025,0.0110568345432884,0.193889330830178,0.473632227065899,0.332478442103923,0.806110669169822,0.354583208549654,0.215497502147835,0.539693417953123,0.264024925577254,0.0111952411587755,0.00547685522083179,0.0411478354935057,0.0223602255474934,0.0176888839040286,-0.0056839922161158,-0.00553210773267574,-0.00544260131258976,0.433828435956079,0.509968834626807,0.57850191140025,2158.703125,14714.6181640625
2010_2015,4,native,VERIFICATION,0.988887107984168,0.00660128676602486,0.00451160524980758,0.0111128920158324,0.18980239921087,0.481274063703185,0.328923537085945,0.81019760078913,0.354583208549654,0.215497502147835,0.539693417953123,0.264024925577254,0.0111952411587755,0.00547685522083179,0.0411478354935057,0.0223602255474934,0.0176888839040286,-0.0056839922161158,-0.00553210773267574,-0.00544260131258976,0.433828435956079,0.509968834626807,0.57850191140025,2158.703125,14714.6181640625
2010_2015,5,crosswalk,VERIFICATION,0.988883756058061,0.00644781394100635,0.00466843000093276,0.0111162439419391,0.192936559843035,0.468125288352827,0.338938151804138,0.807063440156965,0.353239038573326,0.21450535132148,0.533985208183459,0.263909529386264,0.0111952411587755,0.00553298252516969,0.0413182042298221,0.0223818898311168,0.0176767937699902,-0.00562774127622053,-0.00547306697521834,-0.00539336594019097,0.431301263791164,0.510134587781983,0.578527304261971,2158.703125,14534.4423828125
2010_2015,5,native,VERIFICATION,0.988827838249105,0.00655263146363303,0.00461953028726239,0.0111721617508954,0.188876805532318,0.475735268022369,0.335387926445313,0.811123194467682,0.353239038573326,0.21450535132148,0.533985208183459,0.263909529386264,0.0111952411587755,0.00553298252516969,0.0413182042298221,0.0223818898311168,0.0176767937699902,-0.00562774127622053,-0.00547306697521834,-0.00539336594019097,0.431301263791164,0.510134587781983,0.578527304261971,2158.703125,14534.4423828125
2010_2015,6,crosswalk,VERIFICATION,0.988962788190794,0.00651610943542933,0.00452110237377648,0.0110372118092058,0.194284184970656,0.47567560678761,0.330040208241734,0.805715815029344,0.354810303074778,0.215665283910968,0.541310404611335,0.263890816490428,0.0111952411587755,0.00545772130930633,0.041115721876414,0.022327281662561,0.0176266785733802,-0.00570330738927045,-0.00554743794576679,-0.00546708170680979,0.434377915317467,0.510022721819984,0.583352980615356,2184.03295898438,14766.515625
2010_2015,6,native,VERIFICATION,0.988906783092096,0.00662099678984989,0.00447222011805454,0.0110932169079044,0.190195816048887,0.483332377511422,0.326471806439691,0.809804183951113,0.354810303074778,0.215665283910968,0.541310404611335,0.263890816490428,0.0111952411587755,0.00545772130930633,0.041115721876414,0.022327281662561,0.0176266785733802,-0.00570330738927045,-0.00554743794576679,-0.00546708170680979,0.434377915317467,0.510022721819984,0.583352980615356,2184.03295898438,14766.515625
