sample_id,run_name,siteSelectionAsDistributing,totalDisturbanceRate,clusterDistance,useClusterMethod,rng_seed
1,ua_sitesel_001,seismicLines,1.5,1000,TRUE,
2,ua_sitesel_002,oilGas,1.5,1000,TRUE,
3,ua_sitesel_003,oilGas;cutblocks;mining,1.5,1000,TRUE,
4,ua_sitesel_004,oilGas;cutblocks;mining;seismicLines,1.5,1000,TRUE,
